INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
('2025-10-02','CompanyBudget/StaffWelfare/MealSupport/Lunch',-83,'Lunch subsidy',1),
('2025-10-03','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1580,'International conference flight',1),
('2025-10-03','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-180,'Visa application',1),
('2025-10-04','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-920,'Product promotion ads',1),
('2025-10-04','CompanyBudget/Operations/Utilities/Internet',-120,'Internet fee',1),
('2025-10-05','CompanyBudget/Operations/OfficeSupplies/Printing',-48,'Printed documents',1),
('2025-10-05','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus fare',1),
('2025-10-06','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-270,'End-of-summer adjustment cost',1),
('2025-10-06','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-315,'Team workshop',1),
('2025-10-07','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-640,'Booth reconfiguration',1),
('2025-10-07','CompanyBudget/Operations/OfficeSupplies/Stationery',-29,'Binders',1),
('2025-10-08','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-430,'Hotel during regional demo',1),
('2025-10-08','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Community donation',1),
('2025-10-09','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner after long meeting',1),
('2025-10-09','CompanyBudget/Operations/Utilities/Electricity',-248,'Electricity usage',1),
('2025-10-10','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-950,'Product ad campaign',1),
('2025-10-11','CompanyBudget/Operations/OfficeSupplies/Printing',-42,'Printed reports',1),
('2025-10-11','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-31,'Taxi travel',1),
('2025-10-12','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-235,'Donation for local kids program',1),
('2025-10-12','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-10-13','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-600,'Booth equipment assembly',1),
('2025-10-13','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-350,'Outdoor activity',1),
('2025-10-14','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1600,'Flight to overseas partner',1),
('2025-10-14','CompanyBudget/Operations/OfficeSupplies/Stationery',-34,'Office stationery refill',1),
('2025-10-15','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-250,'Community event support',1),
('2025-10-15','CompanyBudget/StaffWelfare/MealSupport/Lunch',-79,'Lunch',1),
('2025-10-16','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-930,'Paid marketing ads',1),
('2025-10-16','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity cost',1),
('2025-10-17','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-28,'Taxi to warehouse',1),
('2025-10-17','CompanyBudget/Operations/OfficeSupplies/Printing',-41,'Printed promotional flyers',1),
('2025-10-18','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-620,'Booth lighting setup',1),
('2025-10-18','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Community donation',1),
('2025-10-19','CompanyBudget/StaffWelfare/MealSupport/Dinner',-113,'Dinner reimbursement',1),
('2025-10-19','CompanyBudget/Operations/Utilities/Internet',-120,'Internet usage',1),
('2025-10-20','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-940,'Ad campaign push',1),
('2025-10-20','CompanyBudget/Operations/OfficeSupplies/Stationery',-31,'Stationery purchase',1),

-- October Income Burst
('2025-10-21','CompanyBudget/Operations',950,'Quarterly corporate support fund',1),
('2025-10-21','CompanyBudget/EventExpense',780,'Regional cultural grant',1),

('2025-10-22','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-175,'Visa processing',1),
('2025-10-22','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-255,'Education donation',1),
('2025-10-23','CompanyBudget/StaffWelfare/MealSupport/Lunch',-83,'Lunch cost',1),
('2025-10-23','CompanyBudget/Operations/OfficeSupplies/Printing',-50,'Printed forms',1),
('2025-10-24','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-660,'Booth audio setup',1),
('2025-10-24','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus ride',1),
('2025-10-25','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-280,'Event cleanup cost',1),
('2025-10-25','CompanyBudget/Operations/Utilities/Electricity',-255,'Electricity usage',1),
('2025-10-26','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-970,'Ad spend increase',1),
('2025-10-26','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-310,'Team workshop',1),
('2025-10-27','CompanyBudget/Operations/OfficeSupplies/Stationery',-33,'Office tools',1),
('2025-10-27','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1650,'Business travel',1),
('2025-10-28','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-10-28','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-245,'Local event support',1),
('2025-10-29','CompanyBudget/Operations/OfficeSupplies/Printing',-44,'Printed manuals',1),
('2025-10-29','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-26,'Taxi fee',1),
('2025-10-30','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-950,'Marketing content push',1),
('2025-10-30','CompanyBudget/StaffWelfare/MealSupport/Dinner',-119,'Dinner',1),
('2025-10-31','CompanyBudget/Operations/Utilities/Electricity',-248,'Electricity payment',1),
('2025-10-31','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Local community donation',1);

-- ============================
-- 2025 NOVEMBER (81~160)
-- ============================

INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
('2025-11-01','CompanyBudget/Operations/Utilities/Electricity',-270,'November electricity bill',1),
('2025-11-01','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-29,'Taxi to supplier meeting',1),
('2025-11-01','CompanyBudget/Operations/OfficeSupplies/Stationery',-34,'Office stationery restock',1),
('2025-11-02','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Local charity donation',1),
('2025-11-02','CompanyBudget/StaffWelfare/MealSupport/Lunch',-82,'Lunch with team',1),
('2025-11-03','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1600,'Overseas partner meeting flight',1),
('2025-11-03','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-180,'Visa processing fee',1),
('2025-11-04','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-930,'Marketing ads expansion',1),
('2025-11-04','CompanyBudget/Operations/Utilities/Internet',-120,'Internet service',1),
('2025-11-05','CompanyBudget/Operations/OfficeSupplies/Printing',-45,'Document printing',1),
('2025-11-05','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus transportation',1),
('2025-11-06','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-320,'Workshop speaker fee',1),
('2025-11-06','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-250,'Community youth support',1),
('2025-11-07','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-460,'Hotel for regional presentation',1),
('2025-11-07','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-650,'Booth rebuild cost',1),
('2025-11-08','CompanyBudget/StaffWelfare/MealSupport/Dinner',-119,'Dinner reimbursement',1),
('2025-11-08','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity monthly fee',1),
('2025-11-09','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-275,'Community service donation',1),
('2025-11-09','CompanyBudget/Operations/OfficeSupplies/Stationery',-33,'Office organization supplies',1),
('2025-11-10','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-960,'Ad creative launch',1),
('2025-11-10','CompanyBudget/StaffWelfare/MealSupport/Lunch',-86,'Lunch subsidy',1),
('2025-11-11','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity charge',1),
('2025-11-11','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-30,'Taxi to office',1),
('2025-11-12','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-620,'Booth LED setup',1),
('2025-11-12','CompanyBudget/Operations/OfficeSupplies/Printing',-42,'Poster printing',1),
('2025-11-13','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Charity for school supplies',1),
('2025-11-13','CompanyBudget/Operations/OfficeSupplies/Stationery',-29,'Office pens',1),
('2025-11-14','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1680,'Flight for overseas summit',1),
('2025-11-14','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-175,'Visa issuance',1),
('2025-11-15','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-980,'Performance ads',1),
('2025-11-15','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner meeting',1),

-- Income (중간 지원금)
('2025-11-16','CompanyBudget/Operations',950,'Enterprise development support grant',1),
('2025-11-16','CompanyBudget/EventExpense',800,'Cultural partnership funding',1),

('2025-11-17','CompanyBudget/Operations/Utilities/Internet',-120,'Internet charge',1),
('2025-11-17','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-310,'Post-event adjustments',1),
('2025-11-18','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-26,'Taxi to vendor',1),
('2025-11-18','CompanyBudget/Operations/OfficeSupplies/Printing',-39,'Printed contracts',1),
('2025-11-19','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-660,'Booth wiring upgrade',1),
('2025-11-19','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-370,'Outdoor team event',1),
('2025-11-20','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-940,'Marketing blitz',1),
('2025-11-20','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity usage',1),
('2025-11-21','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-270,'Local donation',1),
('2025-11-21','CompanyBudget/StaffWelfare/MealSupport/Lunch',-81,'Lunch',1),
('2025-11-22','CompanyBudget/Operations/OfficeSupplies/Stationery',-35,'Office restock',1),
('2025-11-22','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus ride',1),
('2025-11-23','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-280,'Leftover equipment fees',1),
('2025-11-23','CompanyBudget/Operations/Utilities/Internet',-120,'Internet service',1),
('2025-11-24','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-690,'Booth renovation',1),
('2025-11-24','CompanyBudget/Operations/OfficeSupplies/Printing',-51,'Form printing',1),
('2025-11-25','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Community holiday support',1),
('2025-11-25','CompanyBudget/StaffWelfare/MealSupport/Dinner',-120,'Team dinner',1),
('2025-11-26','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1590,'Regional travel flight',1),
('2025-11-26','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-980,'Holiday season ads',1),
('2025-11-27','CompanyBudget/Operations/Utilities/Electricity',-255,'Electricity cost',1),
('2025-11-27','CompanyBudget/Operations/OfficeSupplies/Stationery',-30,'Office supplies',1),
('2025-11-28','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-250,'Holiday charity donation',1),
('2025-11-28','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-310,'End-of-year workshop',1),
('2025-11-29','CompanyBudget/Operations/OfficeSupplies/Printing',-47,'Year-end reports',1),
('2025-11-29','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-31,'Taxi to event',1),
('2025-11-30','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1020,'Massive Q4 ad spend',1),
('2025-11-30','CompanyBudget/StaffWelfare/MealSupport/Lunch',-87,'Lunch support',1);

-- ============================
-- 2025 DECEMBER (161~250)
-- ============================

INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
('2025-12-01','CompanyBudget/Operations/Utilities/Electricity',-275,'December electricity bill',1),
('2025-12-01','CompanyBudget/Operations/Utilities/Internet',-120,'Internet service',1),
('2025-12-01','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-32,'Taxi for field meeting',1),
('2025-12-01','CompanyBudget/Operations/OfficeSupplies/Stationery',-35,'Quarter-end stationery refill',1),
('2025-12-02','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-300,'Holiday community support donation',1),
('2025-12-02','CompanyBudget/StaffWelfare/MealSupport/Lunch',-88,'Lunch with partner team',1),
('2025-12-03','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1750,'Year-end international conference flight',1),
('2025-12-03','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-185,'Visa processing fee',1),
('2025-12-04','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1100,'Q4 peak-season marketing ads',1),
('2025-12-04','CompanyBudget/Operations/OfficeSupplies/Printing',-55,'Year-end document printing',1),
('2025-12-05','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-350,'Year-end workshop material cost',1),
('2025-12-05','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-320,'Holiday school charity',1),
('2025-12-06','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Venue',-920,'Year-end party venue booking',1),
('2025-12-06','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-1500,'Year-end catering service',1),
('2025-12-07','CompanyBudget/StaffWelfare/MealSupport/Dinner',-140,'Year-end dinner cost',1),
('2025-12-07','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity usage',1),
('2025-12-08','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-720,'Booth year-end upgrade',1),
('2025-12-08','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-9,'Bus transport',1),
('2025-12-09','CompanyBudget/Operations/OfficeSupplies/Stationery',-40,'Office storage items',1),
('2025-12-09','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1150,'Holiday marketing push',1),
('2025-12-10','CompanyBudget/StaffWelfare/MealSupport/Lunch',-92,'Lunch reimbursement',1),
('2025-12-10','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-12-11','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-34,'Taxi to year-end vendor fair',1),
('2025-12-11','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-310,'Holiday charity donation',1),
('2025-12-12','CompanyBudget/Operations/OfficeSupplies/Printing',-52,'End-of-year performance report printing',1),
('2025-12-12','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-690,'Booth reinforcement',1),
('2025-12-13','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Venue',-980,'Venue equipment rental',1),
('2025-12-13','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-1650,'Premium catering upgrade',1),
('2025-12-14','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-380,'Outdoor team activity',1),
('2025-12-14','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-295,'Community service fund',1),
('2025-12-15','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1800,'Executive year-end travel',1),
('2025-12-15','CompanyBudget/Operations/OfficeSupplies/Stationery',-38,'Large office order',1),

-- Income (연말 후원금/정부지원)
('2025-12-16','CompanyBudget/Operations',1200,'Year-end operational grant received',1),
('2025-12-16','CompanyBudget/EventExpense',980,'Holiday event support received',1),

('2025-12-17','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1180,'Ultra-high season ad spend',1),
('2025-12-17','CompanyBudget/Operations/Utilities/Electricity',-265,'Electricity bill',1),
('2025-12-18','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-33,'Taxi to event partner',1),
('2025-12-18','CompanyBudget/Operations/OfficeSupplies/Printing',-56,'Mass printing run',1),
('2025-12-19','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-330,'Holiday charity expansion',1),
('2025-12-19','CompanyBudget/StaffWelfare/MealSupport/Dinner',-125,'Dinner reimbursement',1),
('2025-12-20','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Venue',-1100,'Final venue payment',1),
('2025-12-20','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-1750,'Ultimate premium catering',1),
('2025-12-21','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-720,'Booth completion work',1),
('2025-12-21','CompanyBudget/Operations/Utilities/Internet',-120,'Internet month-end fee',1),
('2025-12-22','CompanyBudget/Operations/OfficeSupplies/Stationery',-45,'Year-end office cleanup materials',1),
('2025-12-22','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-340,'Neighborhood holiday donation',1),
('2025-12-23','CompanyBudget/StaffWelfare/MealSupport/Lunch',-95,'Holiday lunch',1),
('2025-12-23','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1200,'Holiday ad spike',1),
('2025-12-24','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1900,'International trip booked last minute',1),
('2025-12-24','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-185,'Visa processing',1),
('2025-12-25','CompanyBudget/Operations/Utilities/Electricity',-270,'Electricity cost',1),
('2025-12-25','CompanyBudget/Operations/OfficeSupplies/Printing',-58,'Holiday presentation prints',1),
('2025-12-26','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-350,'Large holiday donation',1),
('2025-12-26','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-360,'Year-end workshop',1),
('2025-12-27','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-36,'Taxi for last-minute run',1),
('2025-12-27','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-760,'Booth final overhaul',1),
('2025-12-28','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-12-28','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1300,'Aggressive year-end targeted ads',1),
('2025-12-29','CompanyBudget/Operations/OfficeSupplies/Stationery',-52,'Office overhaul supplies',1),
('2025-12-29','CompanyBudget/Operations/OfficeSupplies/Printing',-60,'Year-end report packets',1),
('2025-12-30','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-1800,'Last-minute catering expansion',1),
('2025-12-30','CompanyBudget/StaffWelfare/MealSupport/Dinner',-140,'Dinner before holiday break',1),

-- FINAL YEAR-END BURN RATE MODE 😈🔥
('2025-12-31','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1500,'Final day marketing blitz',1),
('2025-12-31','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-840,'Emergency booth maintenance',1),
('2025-12-31','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-420,'Massive holiday charity package',1),
('2025-12-31','CompanyBudget/Operations/OfficeSupplies/Printing',-85,'Huge print batch for year-end',1),
('2025-12-31','CompanyBudget/Operations/OfficeSupplies/Stationery',-70,'Full office supply purge',1),
('2025-12-31','CompanyBudget/Operations/Utilities/Electricity',-300,'Electricity surge due to events',1),
('2025-12-31','CompanyBudget/Operations/Utilities/Internet',-130,'Backup network usage',1),
('2025-12-31','CompanyBudget/StaffWelfare/MealSupport/Lunch',-120,'Year-end team lunch',1),
('2025-12-31','CompanyBudget/StaffWelfare/MealSupport/Dinner',-150,'Last dinner before shutdown',1),
('2025-12-31','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-420,'Year-end team workshop finale',1),
('2025-12-31','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-52,'Urgent taxi expenses',1),
('2025-12-31','CompanyBudget/TravelExpense/InternationalTravel/Flight',-2100,'Emergency overseas arrangement',1),
('2025-12-31','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Venue',-2500,'Full venue buyout for party',1),
('2025-12-31','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-3500,'End-of-year feast catering',1),
('2025-12-31','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-1800,'Ultra-final ad campaign',1),
('2025-12-31','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-480,'Holiday mega donation',1),
('2025-12-31','CompanyBudget/Operations',1500,'Year-end fund settlement received',1),
('2025-12-31','CompanyBudget/EventExpense',1300,'Final event subsidy of the year',1);
